TRIP
DATE 2005-07-02 
DECLINATION     0.00
DATA
60.673	26.897	67.276	24.072
67.276	24.072	64.935	24.639
67.276	24.072	65.935	23.667
67.276	24.072	63.620	24.603
67.276	24.072	65.822	26.323
67.276	24.072	67.094	25.501
67.276	24.072	66.571	22.857
67.276	24.072	67.689	26.167
56.861	30.178	60.673	26.897
60.673	26.897	61.586	28.356
60.673	26.897	56.989	30.275
60.673	26.897	57.496	29.168
60.673	26.897	59.070	28.682
60.673	26.897	60.496	27.127
60.673	26.897	60.640	26.888
60.673	26.897	60.695	26.565
60.673	26.897	59.858	24.662
60.673	26.897	59.197	27.625
60.673	26.897	61.524	28.496
60.673	26.897	58.165	29.460
60.673	26.897	58.959	27.765
60.673	26.897	61.127	27.319
51.464	31.305	56.861	30.178
56.861	30.178	56.646	29.174
56.861	30.178	56.912	30.140
56.861	30.178	57.431	31.910
56.861	30.178	56.537	28.617
56.861	30.178	54.590	33.366
56.861	30.178	52.063	33.835
56.861	30.178	53.790	31.906
56.861	30.178	55.085	29.807
56.861	30.178	55.905	29.792
56.861	30.178	53.835	30.901
47.774	31.266	51.464	31.305
51.464	31.305	51.489	31.350
51.464	31.305	51.128	30.015
51.464	31.305	51.631	33.562
51.464	31.305	51.458	31.949
51.464	31.305	51.725	31.655
51.464	31.305	51.440	30.911
51.464	31.305	48.380	29.165
51.464	31.305	48.411	33.221
41.729	30.255	47.774	31.266
47.774	31.266	48.040	30.499
47.774	31.266	48.082	31.274
47.774	31.266	47.697	31.238
47.774	31.266	43.784	32.370
47.774	31.266	43.827	29.081
47.774	31.266	44.637	31.513
47.774	31.266	46.044	30.399
47.774	31.266	44.150	30.091
47.774	31.266	47.602	33.269
47.774	31.266	48.360	29.175
47.774	31.266	44.278	29.930
47.774	31.266	43.616	30.424
47.774	31.266	45.696	30.330
38.775	29.938	41.729	30.255
41.729	30.255	41.345	30.952
41.729	30.255	41.742	30.374
41.729	30.255	41.675	30.125
41.729	30.255	41.066	30.110
41.729	30.255	40.175	29.757
41.729	30.255	41.219	31.402
41.729	30.255	41.890	29.344
41.729	30.255	42.639	30.590
35.490	28.252	38.775	29.938
38.775	29.938	39.055	29.104
38.775	29.938	38.717	30.060
38.775	29.938	38.778	29.920
38.775	29.938	38.690	29.898
38.775	29.938	39.165	28.527
38.775	29.938	38.568	30.659
38.775	29.938	40.226	29.693
38.775	29.938	37.755	29.259
38.775	29.938	40.272	29.486
38.775	29.938	38.002	29.483
38.775	29.938	32.180	26.385
38.775	29.938	37.075	29.140
38.775	29.938	31.599	27.394
38.775	29.938	34.547	29.309
29.896	27.157	35.490	28.252
35.490	28.252	35.505	28.140
35.490	28.252	35.468	28.340
35.490	28.252	35.103	29.742
35.490	28.252	35.212	28.899
35.490	28.252	35.809	27.303
35.490	28.252	36.818	29.185
35.490	28.252	36.802	28.937
35.490	28.252	33.128	28.577
35.490	28.252	33.692	26.894
25.078	25.040	29.896	27.157
29.896	27.157	30.078	26.612
29.896	27.157	29.926	27.142
29.896	27.157	29.820	27.089
29.896	27.157	28.314	25.844
29.896	27.157	27.246	27.835
29.896	27.157	27.942	25.327
29.896	27.157	28.667	26.351
29.896	27.157	24.795	25.997
20.912	22.784	25.078	25.040
25.078	25.040	24.686	25.715
25.078	25.040	25.094	25.089
25.078	25.040	25.074	25.078
25.078	25.040	25.040	25.036
12.967	19.394	20.912	22.784
20.912	22.784	20.728	22.438
20.912	22.784	18.140	21.872
20.912	22.784	15.632	20.835
20.912	22.784	16.942	19.720
20.912	22.784	20.242	24.219
20.912	22.784	20.954	22.840
20.912	22.784	20.910	22.792
10.253	14.467	12.967	19.394
12.967	19.394	13.614	17.707
12.967	19.394	13.059	19.436
12.967	19.394	9.072	17.004
12.967	19.394	12.927	19.519
12.967	19.394	13.248	18.834
12.967	19.394	13.050	19.365
12.967	19.394	10.326	15.830
12.967	19.394	11.633	17.251
12.967	19.394	16.181	19.300
12.967	19.394	18.368	19.666
12.967	19.394	15.925	18.667
12.967	19.394	20.331	20.387
12.967	19.394	20.944	21.790
12.967	19.394	19.962	21.423
12.967	19.394	20.854	22.751
0.000	0.000	10.253	14.467
10.253	14.467	13.170	16.227
10.253	14.467	10.618	14.648
10.253	14.467	10.117	14.449
10.253	14.467	10.306	13.767
0.000	0.000	0.000	0.000
POLYLINE BLACK
32.695	1.160
32.845	1.310
33.445	1.310
33.745	1.385
34.120	1.385
34.645	1.535
34.795	1.460
POLYLINE BLACK
31.645	-0.115
31.120	-0.490
30.670	-1.240
30.595	-1.915
30.895	-2.365
31.195	-2.590
31.420	-2.590
31.870	-2.215
32.095	-1.690
32.095	-1.090
32.170	-0.940
32.095	-0.640
32.020	-0.940
32.095	-1.390
32.095	-1.615
32.245	-1.915
32.545	-1.990
32.920	-1.465
32.995	-1.090
32.995	-0.715
32.920	-0.565
33.370	-1.240
33.520	-1.165
33.670	-0.790
33.670	-0.265
32.920	2.660
32.920	2.885
32.920	2.885
33.070	2.210
34.045	-0.190
34.645	-0.865
POLYLINE BLACK
26.695	-2.815
26.545	-2.890
26.320	-3.190
26.245	-3.565
26.170	-3.715
26.170	-4.090
26.470	-4.540
26.620	-4.690
26.845	-4.315
26.545	-2.440
26.245	-1.390
26.095	-1.015
26.245	-1.840
26.395	-2.215
26.395	-2.440
26.620	-3.040
26.770	-3.190
26.845	-3.415
27.295	-3.865
27.520	-3.940
27.670	-3.865
27.820	-3.490
27.820	-2.890
27.670	-2.440
27.595	-2.590
27.595	-3.115
27.895	-3.565
28.345	-3.790
28.570	-3.790
28.720	-3.865
29.020	-3.790
29.395	-3.490
29.620	-2.740
29.620	-2.440
29.695	-2.815
29.695	-3.265
29.845	-2.890
29.845	-2.665
30.070	-1.915
POLYLINE BLACK
24.895	-4.465
24.895	-4.165
24.745	-3.565
24.520	-3.265
24.895	-4.015
25.270	-5.215
25.495	-5.515
25.270	-5.140
24.970	-4.240
24.970	-4.015
24.820	-3.415
24.970	-3.340
25.270	-3.715
25.345	-3.940
25.495	-4.090
25.570	-4.315
26.095	-5.065
POLYLINE BLACK
25.045	-3.715
POLYLINE BLACK
23.245	-3.940
23.320	-4.240
23.770	-4.765
24.370	-5.290
24.520	-5.290
POLYLINE BLACK
21.895	-4.240
22.120	-4.540
22.195	-4.765
22.345	-4.915
22.420	-5.140
23.170	-5.965
23.545	-6.040
23.695	-6.040
23.845	-5.665
23.845	-5.440
23.770	-5.290
23.770	-5.065
23.695	-4.840
POLYLINE BLACK
21.895	0.560
22.420	-0.115
22.570	-0.190
22.795	0.110
22.795	0.410
22.645	0.410
22.570	0.110
22.570	-0.190
22.870	-0.415
23.170	-0.340
23.320	0.035
23.320	0.260
23.245	0.560
23.545	0.185
23.845	0.035
24.070	0.710
24.070	1.085
24.220	1.010
24.370	0.710
24.445	1.010
24.445	1.910
24.520	2.060
24.820	1.610
24.820	1.460
24.895	1.310
24.895	1.460
24.970	1.760
24.970	1.985
25.045	2.285
25.720	1.535
25.870	1.460
26.020	1.610
26.020	1.760
26.095	1.910
26.095	2.735
26.020	2.885
26.020	3.110
25.870	3.560
25.870	3.785
25.795	3.935
26.020	3.635
26.620	2.135
26.620	2.810
26.695	3.035
26.845	3.185
26.995	3.185
27.295	2.885
27.295	2.735
27.445	2.585
27.445	2.435
27.520	2.135
27.445	1.985
27.070	1.835
27.445	2.285
27.670	2.435
27.745	2.660
28.270	3.260
28.420	3.485
28.420	3.785
28.120	4.085
27.820	4.085
27.520	3.860
27.445	3.185
27.445	3.035
27.670	2.735
27.970	2.585
28.420	2.885
29.020	4.460
29.095	3.860
29.245	3.560
29.245	3.335
29.395	3.035
29.545	3.185
29.545	3.410
29.845	4.235
30.445	4.910
POLYLINE BLACK
20.770	1.985
21.220	0.785
21.445	-0.190
POLYLINE BLACK
20.245	1.235
19.795	0.485
19.645	-0.115
19.645	-0.340
20.020	-1.015
20.245	-1.240
20.395	-1.240
20.845	-0.865
21.070	-0.190
21.070	0.785
POLYLINE BLACK
24.370	7.685
24.370	6.935
24.520	6.485
24.520	6.635
24.595	6.785
24.595	7.160
24.670	7.310
24.670	7.535
24.745	7.685
25.045	7.460
