encoding  utf-8
TRIP
DATE 2005-07-09 
DECLINATION     0.00
DATA
TRIP
DATE 2006-10-09 
DECLINATION     0.00
DATA
1.21		145.44	-1.07	1.074	>
1.21		291.44	-33.61	2.260	>
1.21		154.44	-72.59	3.238	>
1.21	1.22	254.98	-1.68	13.602	>
1.22		315.00	86.99	0.512	>
1.22		174.89	-29.10	1.877	>
1.22		147.39	-1.36	3.612	>
1.22		341.40	3.71	2.488	>
1.22		43.26	2.59	6.985	>
1.22	1.23	192.34	3.04	6.695	>
1.23		12.28	-69.59	1.455	>
1.23		293.78	76.62	0.279	>
1.23		82.56	-3.70	6.631	>
1.23		235.91	3.59	3.003	>
1.23		271.26	0.61	9.171	>
1.23		301.61	-11.21	10.127	>
1.23		315.89	-12.34	9.667	>
1.23	1.24	137.28	6.21	5.074	>
1.24		304.23	-76.87	1.299	>
1.24		39.41	77.89	4.842	>
1.24		143.75	-20.99	0.578	>
1.24		328.07	1.25	1.608	>
1.24		247.59	-8.64	3.175	>
1.24	1.25	38.42	23.07	5.185	>
1.25		136.32	10.29	2.681	>
1.25		335.91	-8.15	1.079	>
1.25		118.22	74.84	2.605	>
1.25		332.66	-80.54	3.419	>
1.25	1.26	64.39	-0.72	12.023	>
1.26		151.67	79.00	1.524	>
1.26		277.35	-64.79	2.864	>
1.26		148.36	-15.57	0.819	>
1.26		316.61	-26.57	1.795	>
1.26	1.27	67.77	-4.37	11.079	>
1.27		42.18	74.75	3.438	>
1.27		355.79	-64.33	2.199	>
1.27		160.92	44.64	1.685	>
1.27		350.64	0.55	2.404	>
1.27		12.97	-32.93	7.540	>
1.27	1.28	59.31	-0.58	11.878	>
1.28		139.56	83.24	2.645	>
1.28		328.75	-63.74	2.723	>
1.28		341.25	4.79	2.541	>
1.28		141.03	38.60	1.662	>
1.28		257.74	-10.84	4.133	>
1.28	1.29	56.97	-1.60	18.560	>
1.29		28.64	86.64	4.627	>
1.29		345.74	-63.14	1.671	>
1.29		157.75	38.54	0.753	>
1.29		237.81	0.36	10.161	>
1.29		324.32	-8.97	1.706	>
1.29		346.32	30.93	5.032	>
1.29	1.30	50.23	3.88	10.554	>
1.30		130.04	76.32	2.143	>
1.30		100.07	-56.77	2.432	>
1.30		159.25	-5.21	2.213	>
1.30		10.48	60.63	1.816	>
1.30	1.31	77.05	-6.88	4.608	>
1.31		204.65	-29.09	3.254	>
1.31		5.76	9.16	0.616	>
1.31		214.16	-6.25	2.473	>
1.31		170.90	-9.13	3.138	>
1.31	1.32	194.70	1.94	11.294	>
1.32		331.67	83.17	1.950	>
1.32		226.07	-70.27	5.144	>
1.32		122.49	1.32	0.304	>
1.32		292.44	6.21	2.208	>
1.32		283.03	-59.10	1.261	>
1.32	1.33	203.18	0.52	10.252	>
1.33		111.27	81.15	3.942	>
1.33		89.77	-50.46	1.582	>
1.33		307.78	9.04	0.598	>
1.33		98.74	-5.51	2.593	>
1.33		140.78	-2.08	4.379	>
1.33		124.20	-2.54	7.085	>
1.33	1.34	114.97	1.59	9.780	>
1.34		224.22	78.73	3.992	>
1.34		257.45	-76.81	1.513	>
1.34		258.88	-6.39	2.128	>
1.34	1.35	181.17	0.91	12.604	>
1.35		214.83	84.56	3.676	>
1.35		348.42	-86.94	1.585	>
1.35		81.28	-37.15	0.936	>
1.35		255.88	2.16	2.207	>
1.35	1.36	164.66	1.37	6.317	>
1.36		69.94	73.04	2.868	>
1.36		343.82	-77.99	1.966	>
1.36		268.21	-49.97	0.846	>
1.36		72.84	-1.73	2.215	>
1.36		169.24	-51.69	4.192	>
1.36	1.37	159.85	-1.54	7.573	>
1.37		136.76	87.41	2.554	>
1.37		60.48	-72.75	1.670	>
1.37		244.51	-13.34	0.516	>
1.37		53.23	-0.47	2.302	>
1.37	1.38	115.99	-0.79	7.101	>
1.38		216.87	69.93	2.884	>
1.38		245.07	-44.13	2.340	>
1.38		43.21	-0.85	0.542	>
1.38		248.91	-3.55	2.617	>
1.38	1.39	193.53	1.43	10.069	>
1.39		14.45	76.98	2.809	>
1.39		20.16	-69.39	2.094	>
1.39		22.01	0.67	3.786	>
1.39		128.45	-7.74	1.982	>
1.39		297.15	5.94	2.530	>
1.39	1.40	200.11	1.62	9.927	>
1.40		60.18	73.64	2.464	>
1.40		47.30	-64.83	2.029	>
1.40		247.45	-37.75	0.848	>
1.40		55.23	-9.41	2.495	>
1.40		34.05	-9.66	3.362	>
1.40		91.53	-4.83	3.087	>
1.40	1.41	97.45	-1.34	4.222	>
1.41		181.65	66.10	4.293	>
1.41		157.40	-72.49	1.782	>
1.41		177.48	-1.70	2.297	>
1.41		353.87	-34.89	0.731	>
1.41	1.42	70.29	0.98	11.427	>
1.42		148.20	74.98	2.401	>
1.42		155.92	-68.56	1.750	>
1.42		326.74	-15.57	0.577	>
1.42		150.73	-2.72	1.747	>
1.42		242.10	-2.77	4.463	>
1.42	1.43	68.10	3.46	4.859	>
1.43		322.73	62.15	1.587	>
1.43		176.99	-87.78	1.964	>
1.43		326.70	-10.64	1.820	>
1.43		144.38	-4.27	0.322	>
1.43		346.10	-55.47	5.205	>
1.43	1.44	31.64	2.14	4.401	>
1.44		117.24	-67.51	2.467	>
1.44		153.72	48.14	3.178	>
1.44		138.86	-26.10	2.400	>
1.44		316.78	-4.58	0.388	>
1.44	1.45	92.63	-0.68	7.295	>
1.45		167.79	79.21	2.601	>
1.45		339.24	-64.23	2.076	>
1.45		148.04	-8.96	0.539	>
1.45		334.81	1.57	2.417	>
1.45	1.46	39.29	-2.99	8.207	>
1.46		228.43	74.66	2.325	>
1.46		281.78	-66.34	1.598	>
1.46		115.56	-6.05	0.256	>
1.46		314.47	0.57	2.426	>
1.46	1.47	41.55	1.03	12.932	>
1.47		131.77	55.90	2.595	>
1.47		153.64	-46.13	2.119	>
1.47		16.27	15.50	0.348	>
1.47		157.65	-0.65	2.893	>
